,latitude,longitude,byear,education,memory,beta_l,beta_s,beta_p,reference_income,aspiration,tolerance_income,tolerance_activity,lambda,alpha_plus,alpha_minus,phi_plus,phi_minus,fuzzy_size
Sendenhorst,0,0,1981,11,5,1,0.5,1,477.2168,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Witten,0,0,1981,6,5,1,0.5,1,485.6552,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Willebadessen,0,0,1981,5,5,1,0.5,1,472.584,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Grevenbroich,0,0,1981,13,5,1,0.5,1,342.3984,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Freudenberg,0,0,1981,7,5,1,0.5,1,293.988,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Stadtlohn,0,0,1981,8,5,1,0.5,1,447.9528,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Bueren,0,0,1981,11,5,1,0.5,1,492.6928,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Duelmen,0,0,1981,12,5,1,0.5,1,478.5096,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Rheinberg,0,0,1981,5,5,1,0.5,1,466.704,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Morsbach,0,0,1981,13,5,1,0.5,1,413.2888,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
BadSassendorf,0,0,1981,6,5,1,0.5,1,294.2304,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Geldern,0,0,1981,7,5,1,0.5,1,483.8024,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Lage,0,0,1981,13,5,1,0.5,1,482.52,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Burbach,0,0,1981,11,5,1,0.5,1,459.196,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Guetersloh,0,0,1981,6,5,1,0.5,1,461.1648,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Schwelm,0,0,1981,5,5,1,0.5,1,444.4016,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Frechen,0,0,1981,7,5,1,0.5,1,476.908,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Unna,0,0,1981,6,5,1,0.5,1,476.4216,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
PreussischOldendorf,0,0,1981,6,5,1,0.5,1,367.2528,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Anroechte,0,0,1981,9,5,1,0.5,1,474.2688,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
BadOeynhausen,0,0,1981,12,5,1,0.5,1,467.7304,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Saerbeck,0,0,1981,11,5,1,0.5,1,436.5752,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Blankenheim,0,0,1981,12,5,1,0.5,1,489.6392,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Korschenbroich,0,0,1981,8,5,1,0.5,1,476.648,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kreuzau,0,0,1981,10,5,1,0.5,1,486.6128,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Bergneustadt,0,0,1981,6,5,1,0.5,1,516.9064,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kirchhundem,0,0,1981,7,5,1,0.5,1,452.2488,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Halver,0,0,1981,15,5,1,0.5,1,490.7184,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Arnsberg,0,0,1981,11,5,1,0.5,1,428.4208,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
VoerdeNiederrhein,0,0,1981,6,5,1,0.5,1,464.776,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Langenberg,0,0,1981,13,5,1,0.5,1,452.784,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Alpen,0,0,1981,10,5,1,0.5,1,473.0104,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Warburg,0,0,1981,10,5,1,0.5,1,473.792,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Niederkruechten,0,0,1981,6,5,1,0.5,1,500.9192,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Langerwehe,0,0,1981,8,5,1,0.5,1,436.5968,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Recklinghausen,0,0,1981,13,5,1,0.5,1,385.2784,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
SchlossHolteStukenbrock,0,0,1981,8,5,1,0.5,1,519.568,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kreuztal,0,0,1981,6,5,1,0.5,1,418.5704,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Ennepetal,0,0,1981,7,5,1,0.5,1,439.7928,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Erwitte,0,0,1981,5,5,1,0.5,1,459.1448,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Selfkant,0,0,1981,9,5,1,0.5,1,533.1496,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
BadBerleburg,0,0,1981,14,5,1,0.5,1,510.8296,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Schermbeck,0,0,1981,12,5,1,0.5,1,518.5752,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Luebbecke,0,0,1981,12,5,1,0.5,1,306.7744,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Sprockhoevel,0,0,1981,6,5,1,0.5,1,470.7352,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Meinerzhagen,0,0,1981,10,5,1,0.5,1,464.2512,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hattingen,0,0,1981,7,5,1,0.5,1,501.8768,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Olsberg,0,0,1981,5,5,1,0.5,1,519.0648,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kall,0,0,1981,9,5,1,0.5,1,479.8336,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Blomberg,0,0,1981,7,5,1,0.5,1,484.812,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
BadLaasphe,0,0,1981,6,5,1,0.5,1,398.396,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
NeunkirchenSeelscheid,0,0,1981,9,5,1,0.5,1,427.7056,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Schalksmuehle,0,0,1981,10,5,1,0.5,1,504.4008,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Dortmund,0,0,1981,8,5,1,0.5,1,474.688,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Neunkirchen,0,0,1981,14,5,1,0.5,1,458.9368,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Boenen,0,0,1981,7,5,1,0.5,1,454.9496,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Rietberg,0,0,1981,9,5,1,0.5,1,480.9496,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
KampLintfort,0,0,1981,6,5,1,0.5,1,469.7688,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kranenburg,0,0,1981,9,5,1,0.5,1,526.7256,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Willich,0,0,1981,6,5,1,0.5,1,572.1168,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Drensteinfurt,0,0,1981,6,5,1,0.5,1,338.9992,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Minden,0,0,1981,14,5,1,0.5,1,519.116,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Moehnesee,0,0,1981,8,5,1,0.5,1,418.7408,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hemer,0,0,1981,9,5,1,0.5,1,405.6296,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
BadHonnef,0,0,1981,7,5,1,0.5,1,468.6232,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Reichshof,0,0,1981,7,5,1,0.5,1,504.3856,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Juelich,0,0,1981,9,5,1,0.5,1,499.6192,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Borchen,0,0,1981,10,5,1,0.5,1,516.7936,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hiddenhausen,0,0,1981,6,5,1,0.5,1,527.8224,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Nuembrecht,0,0,1981,8,5,1,0.5,1,437.86,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
MonheimamRhein,0,0,1981,11,5,1,0.5,1,456.9672,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
NeukirchenVluyn,0,0,1981,11,5,1,0.5,1,521.5168,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Rheinbach,0,0,1981,11,5,1,0.5,1,386.8328,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
HennefSieg,0,0,1981,9,5,1,0.5,1,233.392,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Swisttal,0,0,1981,7,5,1,0.5,1,438.8248,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Lohmar,0,0,1981,12,5,1,0.5,1,317.572,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Weilerswist,0,0,1981,14,5,1,0.5,1,462.36,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Borgentreich,0,0,1981,8,5,1,0.5,1,501.5992,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
PortaWestfalica,0,0,1981,7,5,1,0.5,1,519.1672,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Merzenich,0,0,1981,12,5,1,0.5,1,538.2856,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Brilon,0,0,1981,12,5,1,0.5,1,515.6128,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kaarst,0,0,1981,9,5,1,0.5,1,520.2552,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Marl,0,0,1981,5,5,1,0.5,1,459.1944,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Dorsten,0,0,1981,14,5,1,0.5,1,432.8176,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Oerlinghausen,0,0,1981,7,5,1,0.5,1,428.04,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Grefrath,0,0,1981,11,5,1,0.5,1,424.7808,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Nettersheim,0,0,1981,6,5,1,0.5,1,221.388,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Rhede,0,0,1981,11,5,1,0.5,1,542.7016,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Altena,0,0,1981,7,5,1,0.5,1,476.1472,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
WetterRuhr,0,0,1981,10,5,1,0.5,1,563.3936,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
BadDriburg,0,0,1981,8,5,1,0.5,1,462.3096,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Ruppichteroth,0,0,1981,6,5,1,0.5,1,477.7544,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Siegburg,0,0,1981,8,5,1,0.5,1,500.7048,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hagen,0,0,1981,14,5,1,0.5,1,477.5,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Herscheid,0,0,1981,9,5,1,0.5,1,479.416,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Altenbeken,0,0,1981,6,5,1,0.5,1,460.7872,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Meckenheim,0,0,1981,5,5,1,0.5,1,372.8872,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Reken,0,0,1981,9,5,1,0.5,1,513.8456,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Leopoldshoehe,0,0,1981,12,5,1,0.5,1,479.9528,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Wegberg,0,0,1981,14,5,1,0.5,1,421.3504,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Dueren,0,0,1981,6,5,1,0.5,1,422.432,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Ladbergen,0,0,1981,8,5,1,0.5,1,492.244,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Neuenkirchen,0,0,1981,13,5,1,0.5,1,499.3744,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Lindlar,0,0,1981,6,5,1,0.5,1,515.608,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kempen,0,0,1981,8,5,1,0.5,1,485.108,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Legden,0,0,1981,11,5,1,0.5,1,491.5088,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Rommerskirchen,0,0,1981,7,5,1,0.5,1,490.7296,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hueckeswagen,0,0,1981,9,5,1,0.5,1,506.82,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Wadersloh,0,0,1981,11,5,1,0.5,1,482.8272,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Bornheim,0,0,1981,15,5,1,0.5,1,527.6632,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Waldbroel,0,0,1981,6,5,1,0.5,1,475.2544,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Telgte,0,0,1981,7,5,1,0.5,1,520.8304,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Dormagen,0,0,1981,9,5,1,0.5,1,545.6392,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Nordkirchen,0,0,1981,7,5,1,0.5,1,432.2288,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Niederkassel,0,0,1981,8,5,1,0.5,1,503.2392,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Balve,0,0,1981,13,5,1,0.5,1,526.0048,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Billerbeck,0,0,1981,5,5,1,0.5,1,511.644,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Altenberge,0,0,1981,8,5,1,0.5,1,485.1176,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Heiligenhaus,0,0,1981,11,5,1,0.5,1,481.2448,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Ochtrup,0,0,1981,13,5,1,0.5,1,520.2728,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Velen,0,0,1981,6,5,1,0.5,1,523.4544,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Wassenberg,0,0,1981,15,5,1,0.5,1,462.1176,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Harsewinkel,0,0,1981,11,5,1,0.5,1,480.2656,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Erftstadt,0,0,1981,8,5,1,0.5,1,480.16,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Rees,0,0,1981,6,5,1,0.5,1,424.6208,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Heek,0,0,1981,9,5,1,0.5,1,465.1008,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hoexter,0,0,1981,15,5,1,0.5,1,454.5704,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Vlotho,0,0,1981,14,5,1,0.5,1,477.4264,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Aldenhoven,0,0,1981,12,5,1,0.5,1,452.9984,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
EsloheSauerland,0,0,1981,14,5,1,0.5,1,490.1208,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Dahlem,0,0,1981,13,5,1,0.5,1,392.2,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Gescher,0,0,1981,13,5,1,0.5,1,488.7584,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Wachtendonk,0,0,1981,13,5,1,0.5,1,406.9176,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Herne,0,0,1981,8,5,1,0.5,1,462.8368,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
HalternamSee,0,0,1981,6,5,1,0.5,1,555.7176,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Toenisvorst,0,0,1981,9,5,1,0.5,1,499.3944,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Moers,0,0,1981,6,5,1,0.5,1,568.556,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Schlangen,0,0,1981,14,5,1,0.5,1,503.2712,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Meschede,0,0,1981,8,5,1,0.5,1,449.3944,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Dinslaken,0,0,1981,12,5,1,0.5,1,518.4848,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kerpen,0,0,1981,7,5,1,0.5,1,444.3904,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Koenigswinter,0,0,1981,7,5,1,0.5,1,489.6824,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kierspe,0,0,1981,9,5,1,0.5,1,540.8408,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Marienheide,0,0,1981,7,5,1,0.5,1,402.4712,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Winterberg,0,0,1981,7,5,1,0.5,1,417.1184,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Aachen,0,0,1981,7,5,1,0.5,1,496.1048,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Alsdorf,0,0,1981,13,5,1,0.5,1,442.544,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Baesweiler,0,0,1981,14,5,1,0.5,1,423.612,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Eschweiler,0,0,1981,8,5,1,0.5,1,286.0128,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Herzogenrath,0,0,1981,6,5,1,0.5,1,277.592,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Monschau,0,0,1981,13,5,1,0.5,1,502.148,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Roetgen,0,0,1981,9,5,1,0.5,1,536.2816,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Simmerath,0,0,1981,8,5,1,0.5,1,473.0608,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
StolbergRhld,0,0,1981,5,5,1,0.5,1,490.4504,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Vreden,0,0,1981,7,5,1,0.5,1,468.0168,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Wuerselen,0,0,1981,8,5,1,0.5,1,414.428,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
