,latitude,longitude,byear,education,memory,beta_l,beta_s,beta_p,reference_income,aspiration,tolerance_income,tolerance_activity,lambda,alpha_plus,alpha_minus,phi_plus,phi_minus,fuzzy_size
Marl,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Dorsten,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Oerlinghausen,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Grefrath,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Nettersheim,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Rhede,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Altena,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
WetterRuhr,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
BadDriburg,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Ruppichteroth,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Siegburg,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hagen,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Herscheid,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Altenbeken,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Meckenheim,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Reken,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Leopoldshoehe,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Wegberg,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Dueren,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Ladbergen,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Neuenkirchen,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Lindlar,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kempen,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Legden,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Rommerskirchen,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hueckeswagen,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Wadersloh,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Bornheim,0,0,1981,15,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Waldbroel,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Telgte,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Dormagen,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Nordkirchen,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Niederkassel,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Balve,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Billerbeck,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Altenberge,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Heiligenhaus,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Ochtrup,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Velen,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Wassenberg,0,0,1981,15,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Harsewinkel,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Erftstadt,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Rees,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Heek,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hoexter,0,0,1981,15,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Vlotho,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Aldenhoven,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
EsloheSauerland,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Dahlem,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Gescher,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Wachtendonk,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Herne,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
HalternamSee,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Toenisvorst,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Moers,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Schlangen,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Meschede,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Dinslaken,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kerpen,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Koenigswinter,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kierspe,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Marienheide,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Winterberg,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Aachen,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Alsdorf,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Baesweiler,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Eschweiler,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Herzogenrath,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Monschau,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Roetgen,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Simmerath,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
StolbergRhld,0,0,1981,5,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Vreden,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Wuerselen,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
