"","latitude","longitude","byear","education","memory","beta","beta_s","aspiration","tolerance_income","tolerance_activity","lambda","alpha_plus","alpha_minus","phi_plus","phi_minus"
"Lage",0,0,1940,9,5,0.88,0.64,234,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Burbach",0,0,1940,10,5,0.83,0.68,275,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Guetersloh",0,0,1940,7,5,0.97,0.81,165,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Schwelm",0,0,1940,11,5,0.86,0.82,292,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Frechen",0,0,1940,7,5,0.96,0.57,272,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Unna",0,0,1940,10,5,0.86,0.85,286,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"PreussischOldendorf",0,0,1940,7,5,0.33,0.76,234,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Anroechte",0,0,1940,9,5,0.99,0.69,191,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"BadOeynhausen",0,0,1940,10,5,0.82,0.54,245,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Saerbeck",0,0,1940,9,5,0.9,0.88,253,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Blankenheim",0,0,1940,10,5,0.8,0.86,231,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Korschenbroich",0,0,1940,10,5,0.7,0.6,224,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kreuzau",0,0,1940,8,5,0.98,0.64,239,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Bergneustadt",0,0,1940,7,5,0.73,0.86,209,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kirchhundem",0,0,1940,12,5,0.79,0.74,153,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Halver",0,0,1940,7,5,0.98,0.59,233,0.12,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Arnsberg",0,0,1940,9,5,0.67,0.73,309,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"VoerdeNiederrhein",0,0,1940,11,5,0.97,0.94,294,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Langenberg",0,0,1940,9,5,0.97,0.69,178,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Alpen",0,0,1940,10,5,0.87,0.81,138,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Warburg",0,0,1940,11,5,0.97,0.56,161,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Niederkruechten",0,0,1940,12,5,0.88,0.74,299,0.12,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Langerwehe",0,0,1940,11,5,0.87,0.53,301,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Recklinghausen",0,0,1940,12,5,0.88,0.55,263,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"SchlossHolteStukenbrock",0,0,1940,11,5,0.88,0.78,258,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kreuztal",0,0,1940,10,5,0.96,0.53,221,0.1,0.11,0.7889,0.6667,0.6667,0.9,0.9
"Ennepetal",0,0,1940,12,5,0.96,0.73,316,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Erwitte",0,0,1940,8,5,0.54,0.65,223,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Selfkant",0,0,1940,10,5,0.86,0.68,216,0.12,0.1,0.7889,0.6667,0.6667,0.9,0.9
"BadBerleburg",0,0,1940,10,5,0.83,0.98,213,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Schermbeck",0,0,1940,12,5,0.95,0.63,274,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Luebbecke",0,0,1940,10,5,0.88,0.58,321,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Sprockhoevel",0,0,1940,10,5,0.5,0.77,281,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Meinerzhagen",0,0,1940,10,5,0.89,0.62,205,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hattingen",0,0,1940,10,5,0.87,0.68,257,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Olsberg",0,0,1940,10,5,0.76,0.73,182,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kall",0,0,1940,11,5,0.91,0.61,243,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Blomberg",0,0,1940,9,5,0.85,0.68,208,0.1,0.11,0.7889,0.6667,0.6667,0.9,0.9
"BadLaasphe",0,0,1940,8,5,0.88,0.53,321,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"NeunkirchenSeelscheid",0,0,1940,10,5,0.86,0.88,321,0.1,0.11,0.7889,0.6667,0.6667,0.9,0.9
"Schalksmuehle",0,0,1940,10,5,0.88,0.66,259,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Dortmund",0,0,1940,6,5,0.98,0.71,250,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Neunkirchen",0,0,1940,10,5,0.89,0.85,360,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Boenen",0,0,1940,8,5,0.95,0.71,205,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Rietberg",0,0,1940,7,5,0.88,0.83,274,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"KampLintfort",0,0,1940,11,5,1,0.83,208,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kranenburg",0,0,1940,11,5,0.54,0.7,187,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Willich",0,0,1940,12,5,0.95,0.64,264,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Drensteinfurt",0,0,1940,10,5,0.57,0.59,250,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Minden",0,0,1940,10,5,0.94,0.78,250,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Moehnesee",0,0,1940,12,5,0.95,0.73,199,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hemer",0,0,1940,6,5,0.9,0.73,314,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"BadHonnef",0,0,1940,9,5,0.82,0.68,257,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Reichshof",0,0,1940,8,5,0.99,0.78,297,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Juelich",0,0,1940,12,5,0.97,0.74,248,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Borchen",0,0,1940,11,5,0.8,0.66,253,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hiddenhausen",0,0,1940,10,5,0.5,0.69,253,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Nuembrecht",0,0,1940,9,5,0.9,0.82,279,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"MonheimamRhein",0,0,1940,11,5,0.96,0.78,204,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"NeukirchenVluyn",0,0,1940,10,5,0.98,0.76,246,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Rheinbach",0,0,1940,6,5,0.96,0.68,323,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"HennefSieg",0,0,1940,12,5,0.88,0.86,189,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Swisttal",0,0,1940,12,5,0.97,0.93,195,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Lohmar",0,0,1940,6,5,0.98,0.81,232,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Weilerswist",0,0,1940,11,5,0.82,0.67,245,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Borgentreich",0,0,1940,10,5,0.91,0.56,314,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"PortaWestfalica",0,0,1940,10,5,0.91,0.53,264,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Merzenich",0,0,1940,10,5,0.73,0.67,282,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Brilon",0,0,1940,8,5,0.92,0.72,234,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kaarst",0,0,1940,6,5,0.69,0.61,237,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Marl",0,0,1940,9,5,0.91,0.72,204,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Dorsten",0,0,1940,7,5,0.99,0.7,219,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Oerlinghausen",0,0,1940,10,5,0.6,0.73,206,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Grefrath",0,0,1940,8,5,0.96,0.62,255,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Nettersheim",0,0,1940,8,5,0.54,0.89,314,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Rhede",0,0,1940,12,5,0.9,0.75,263,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Altena",0,0,1940,12,5,0.81,0.73,175,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"WetterRuhr",0,0,1940,10,5,0.6,0.81,187,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"BadDriburg",0,0,1940,9,5,0.91,0.96,254,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Ruppichteroth",0,0,1940,8,5,0.87,0.84,196,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Siegburg",0,0,1940,12,5,0.81,0.52,252,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hagen",0,0,1940,8,5,0.87,0.87,298,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Herscheid",0,0,1940,8,5,0.93,0.7,168,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Altenbeken",0,0,1940,9,5,0.96,0.7,234,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Meckenheim",0,0,1940,11,5,0.94,0.88,231,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Reken",0,0,1940,12,5,0.93,0.81,333,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Leopoldshoehe",0,0,1940,8,5,0.86,0.56,264,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Wegberg",0,0,1940,11,5,0.97,0.64,215,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Dueren",0,0,1940,8,5,0.96,0.92,345,0.12,0.11,0.7889,0.6667,0.6667,0.9,0.9
"Ladbergen",0,0,1940,9,5,0.85,0.85,288,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Neuenkirchen",0,0,1940,9,5,0.77,0.99,121,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Lindlar",0,0,1940,9,5,0.83,0.85,178,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kempen",0,0,1940,10,5,0.9,0.81,269,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Legden",0,0,1940,7,5,0.94,0.56,179,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Rommerskirchen",0,0,1940,9,5,0.92,0.63,322,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hueckeswagen",0,0,1940,11,5,0.9,0.94,246,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Wadersloh",0,0,1940,10,5,0.91,0.56,249,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Bornheim",0,0,1940,7,5,0.88,0.54,286,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Waldbroel",0,0,1940,14,5,0.63,0.81,261,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Telgte",0,0,1940,10,5,0.88,0.58,204,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Dormagen",0,0,1940,6,5,0.96,0.36,283,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Nordkirchen",0,0,1940,9,5,0.94,0.71,112,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Niederkassel",0,0,1940,14,5,0.96,0.56,331,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Balve",0,0,1940,7,5,0.82,0.64,209,0.12,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Billerbeck",0,0,1940,12,5,0.79,0.95,230,0.11,0.11,0.7889,0.6667,0.6667,0.9,0.9
"Altenberge",0,0,1940,11,5,0.82,0.87,281,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Heiligenhaus",0,0,1940,9,5,0.84,0.68,138,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Ochtrup",0,0,1940,11,5,0.97,0.65,248,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Velen",0,0,1940,13,5,0.82,0.6,224,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Wassenberg",0,0,1940,11,5,0.97,0.72,297,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Harsewinkel",0,0,1940,11,5,0.82,0.75,188,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Erftstadt",0,0,1940,10,5,0.96,0.7,263,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Rees",0,0,1940,12,5,0.85,0.87,166,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Heek",0,0,1940,7,5,0.97,0.8,315,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hoexter",0,0,1940,10,5,0.93,0.62,307,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Vlotho",0,0,1940,11,5,0.64,0.71,238,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Aldenhoven",0,0,1940,9,5,0.83,0.34,268,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"EsloheSauerland",0,0,1940,11,5,0.81,0.69,258,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Dahlem",0,0,1940,7,5,0.97,0.59,209,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Gescher",0,0,1940,11,5,1,0.97,257,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Wachtendonk",0,0,1940,11,5,0.98,0.73,240,0.11,0.11,0.7889,0.6667,0.6667,0.9,0.9
"Herne",0,0,1940,9,5,0.83,0.76,230,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"HalternamSee",0,0,1940,8,5,0.75,0.58,317,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Toenisvorst",0,0,1940,8,5,0.83,0.73,327,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Moers",0,0,1940,11,5,0.97,0.72,255,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Schlangen",0,0,1940,10,5,0.92,0.56,257,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Meschede",0,0,1940,11,5,0.96,0.57,237,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Dinslaken",0,0,1940,10,5,0.99,0.59,246,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kerpen",0,0,1940,12,5,0.97,0.58,189,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Koenigswinter",0,0,1940,9,5,0.97,0.81,217,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kierspe",0,0,1940,8,5,0.97,0.77,215,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Marienheide",0,0,1940,6,5,0.78,0.52,218,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Winterberg",0,0,1940,8,5,0.99,0.62,207,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Aachen",0,0,1940,11,5,0.99,0.84,198,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Alsdorf",0,0,1940,9,5,0.79,0.67,202,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Baesweiler",0,0,1940,15,5,0.93,0.7,203,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Eschweiler",0,0,1940,9,5,0.58,0.61,280,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Herzogenrath",0,0,1940,8,5,0.97,0.83,231,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Monschau",0,0,1940,7,5,0.72,0.53,345,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Roetgen",0,0,1940,11,5,0.7,0.68,246,0.12,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Simmerath",0,0,1940,7,5,0.8,0.73,228,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"StolbergRhld",0,0,1940,8,5,0.74,0.84,303,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Vreden",0,0,1940,11,5,0.85,0.73,207,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Wuerselen",0,0,1940,9,5,0.97,0.73,248,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
