,latitude,longitude,byear,education,memory,beta_l,beta_s,beta_p,reference_income,aspiration,tolerance_income,tolerance_activity,lambda,alpha_plus,alpha_minus,phi_plus,phi_minus,opt_fuzzy_size,imt_fuzzy_size,ranking_version,learning_rate
Versmold,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Pulheim,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Laer,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Breckerfeld,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Westerkappeln,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Velbert,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
SundernSauerland,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Linnich,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Detmold,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Rosendahl,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Espelkamp,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
BedburgHau,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Paderborn,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Beverungen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
SanktAugustin,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Niederzier,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Elsdorf,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Isselburg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
EmmerichamRhein,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Wachtberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
BadMuenstereifel,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Heiden,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Wiehl,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Netphen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Huellhorst,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Bedburg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Huerth,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hilchenbach,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Inden,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Schmallenberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hueckelhoven,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Ennigerloh,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Zuelpich,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Olfen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Ense,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Nordwalde,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Warendorf,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Sendenhorst,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Witten,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Willebadessen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Grevenbroich,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Freudenberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Stadtlohn,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Bueren,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Duelmen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Rheinberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Morsbach,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
BadSassendorf,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Geldern,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Lage,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Burbach,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Guetersloh,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Schwelm,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Frechen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Unna,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
PreussischOldendorf,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Anroechte,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
BadOeynhausen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Saerbeck,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Blankenheim,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Korschenbroich,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kreuzau,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Bergneustadt,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kirchhundem,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Halver,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Arnsberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
VoerdeNiederrhein,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Langenberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Alpen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Warburg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Niederkruechten,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Langerwehe,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Recklinghausen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
SchlossHolteStukenbrock,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kreuztal,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Ennepetal,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Erwitte,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Selfkant,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
BadBerleburg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Schermbeck,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Luebbecke,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Sprockhoevel,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Meinerzhagen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hattingen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Olsberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kall,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Blomberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
BadLaasphe,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
NeunkirchenSeelscheid,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Schalksmuehle,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Dortmund,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Neunkirchen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Boenen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Rietberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
KampLintfort,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kranenburg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Willich,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Drensteinfurt,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Minden,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Moehnesee,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hemer,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
BadHonnef,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Reichshof,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Juelich,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Borchen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hiddenhausen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Nuembrecht,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
MonheimamRhein,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
NeukirchenVluyn,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Rheinbach,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
HennefSieg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Swisttal,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Lohmar,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Weilerswist,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Borgentreich,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
PortaWestfalica,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Merzenich,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Brilon,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kaarst,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Marl,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Dorsten,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Oerlinghausen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Grefrath,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Nettersheim,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Rhede,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Altena,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
WetterRuhr,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
BadDriburg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Ruppichteroth,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Siegburg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hagen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Herscheid,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Altenbeken,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Meckenheim,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Reken,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Leopoldshoehe,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Wegberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Dueren,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Ladbergen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Neuenkirchen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Lindlar,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kempen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Legden,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Rommerskirchen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hueckeswagen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Wadersloh,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Bornheim,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Waldbroel,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Telgte,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Dormagen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Nordkirchen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Niederkassel,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Balve,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Billerbeck,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Altenberge,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Heiligenhaus,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Ochtrup,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Velen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Wassenberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Harsewinkel,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Erftstadt,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Rees,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Heek,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hoexter,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Vlotho,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Aldenhoven,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
EsloheSauerland,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Dahlem,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Gescher,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Wachtendonk,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Herne,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
HalternamSee,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Toenisvorst,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Moers,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Schlangen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Meschede,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Dinslaken,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kerpen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Koenigswinter,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kierspe,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Marienheide,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Winterberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Aachen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Alsdorf,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Baesweiler,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
